DEPORTISTAS,PESO,LONGITUD1,ALTURA,ANCHO
JOVENES,115,19,5.9175,3.3075
JOVENES,125,19,5.6925,3.6675
JOVENES,130,19.3,6.384,3.534
JOVENES,120,20,6.11,3.4075
JOVENES,120,20,5.64,3.525
JOVENES,130,20,6.11,3.525
JOVENES,135,20,5.875,3.525
JOVENES,110,20,5.5225,3.995
JOVENES,130,20.5,5.856,3.624
JOVENES,150,20.5,6.792,3.624
JOVENES,145,20.7,5.9532,3.63
JOVENES,150,21,5.2185,3.626
JOVENES,170,21.5,6.275,3.725
JOVENES,225,22,7.293,3.723
JOVENES,145,22,6.375,3.825
JOVENES,188,22.6,6.7334,4.1658
JOVENES,180,23,6.4395,3.6835
JOVENES,197,23.5,6.561,4.239
JOVENES,218,25,7.168,4.144
JOVENES,300,25.2,8.323,5.1373
JOVENES,260,25.4,7.1672,4.335
JOVENES,265,25.4,7.0516,4.335
JOVENES,250,25.4,7.2828,4.5662
JOVENES,250,25.9,7.8204,4.2042
JOVENES,300,26.9,7.5852,4.6354
JOVENES,320,27.8,7.6156,4.7716
JOVENES,514,30.5,10.03,6.018
JOVENES,556,32,10.2565,6.3875
JOVENES,840,32.5,11.4884,7.7957
JOVENES,685,34,10.881,6.864
JOVENES,700,34,10.6091,6.7408
JOVENES,700,34.5,10.835,6.2646
JOVENES,690,34.6,10.5717,6.3666
JOVENES,900,36.5,11.1366,7.4934
JOVENES,650,36.5,11.1366,6.003
JOVENES,820,36.6,12.4313,7.3514
JOVENES,850,36.9,11.9286,7.1064
JOVENES,900,37,11.73,7.225
JOVENES,1015,37,12.3808,7.4624
JOVENES,820,37.1,11.135,6.63
JOVENES,1100,39,12.8002,6.8684
JOVENES,1000,39.8,11.9328,7.2772
JOVENES,1100,40.1,12.5125,7.4165
JOVENES,1000,40.2,12.604,8.142
JOVENES,1000,41.1,12.4888,7.5958
ADOLESCENTES,200,30,5.568,3.3756
ADOLESCENTES,300,31.7,5.7078,4.158
ADOLESCENTES,300,32.7,5.9364,4.3844
ADOLESCENTES,300,34.8,6.2884,4.0198
ADOLESCENTES,430,35.5,7.29,4.5765
ADOLESCENTES,345,36,6.396,3.977
ADOLESCENTES,456,40,7.28,4.3225
ADOLESCENTES,510,40,6.825,4.459
ADOLESCENTES,540,40.1,7.786,5.1296
ADOLESCENTES,500,42,6.96,4.896
ADOLESCENTES,567,43.2,7.792,4.87
ADOLESCENTES,770,44.8,7.68,5.376
ADOLESCENTES,950,48.3,8.9262,6.1712
ADOLESCENTES,1250,52,10.6863,6.9849
ADOLESCENTES,1600,56,9.6,6.144
ADOLESCENTES,1550,56,9.6,6.144
ADOLESCENTES,1650,59,10.812,7.48
TERCERA EDAD,6.7,9.3,1.7388,1.0476
TERCERA EDAD,7.5,10,1.972,1.16
TERCERA EDAD,7,10.1,1.7284,1.1484
TERCERA EDAD,9.7,10.4,2.196,1.38
TERCERA EDAD,9.8,10.7,2.0832,1.2772
TERCERA EDAD,8.7,10.8,1.9782,1.2852
TERCERA EDAD,10,11.3,2.2139,1.2838
TERCERA EDAD,9.9,11.3,2.2139,1.1659
TERCERA EDAD,9.8,11.4,2.2044,1.1484
TERCERA EDAD,12.2,11.5,2.0904,1.3936
TERCERA EDAD,13.4,11.7,2.43,1.269
TERCERA EDAD,12.2,12.1,2.277,1.2558
TERCERA EDAD,19.7,13.2,2.8728,2.0672
TERCERA EDAD,19.9,13.8,2.9322,1.8792
